guid,loginDateFormat,loginDay
1158064,2018-05-10 11:25:50,2018-05-10
975066,2018-05-10 11:25:57,2018-05-10
1213332,2018-05-10 11:25:58,2018-05-10
1183047,2018-05-10 11:25:59,2018-05-10
2108242,2018-05-10 11:26:05,2018-05-10
2001472,2018-05-10 11:26:12,2018-05-10
1314809,2018-05-10 11:26:15,2018-05-10
1777186,2018-05-10 11:26:20,2018-05-10
1174520,2018-05-10 11:26:31,2018-05-10
1646145,2018-05-10 11:26:36,2018-05-10
1183707,2018-05-10 11:26:39,2018-05-10
1179581,2018-05-10 11:26:51,2018-05-10
1447653,2018-05-10 11:26:57,2018-05-10
1016868,2018-05-10 11:26:58,2018-05-10
1648284,2018-05-10 11:26:59,2018-05-10
1852275,2018-05-10 11:27:00,2018-05-10
1213427,2018-05-10 11:27:04,2018-05-10
1213623,2018-05-10 11:27:06,2018-05-10
1331612,2018-05-10 11:27:14,2018-05-10
1962833,2018-05-10 11:27:14,2018-05-10
805459,2018-05-10 11:27:16,2018-05-10
1717244,2018-05-10 11:27:16,2018-05-10
846504,2018-05-10 11:27:23,2018-05-10
1415053,2018-05-10 11:27:29,2018-05-10
813034,2018-05-10 11:27:33,2018-05-10
2065096,2018-05-10 11:27:34,2018-05-10
2025623,2018-05-10 11:27:39,2018-05-10
931886,2018-05-10 11:27:46,2018-05-10
1150822,2018-05-10 11:27:53,2018-05-10
1250246,2018-05-10 11:27:55,2018-05-10
1593109,2018-05-10 11:28:03,2018-05-10
1206178,2018-05-10 11:28:03,2018-05-10
1442836,2018-05-10 11:28:05,2018-05-10
1165772,2018-05-10 11:28:12,2018-05-10
2111097,2018-05-10 11:28:13,2018-05-10
986482,2018-05-10 11:28:20,2018-05-10
1191956,2018-05-10 11:28:27,2018-05-10
994291,2018-05-10 11:28:34,2018-05-10
1669931,2018-05-10 11:28:44,2018-05-10
1201280,2018-05-10 11:28:44,2018-05-10
1699670,2018-05-10 11:28:53,2018-05-10
1906252,2018-05-10 11:28:53,2018-05-10
146852,2018-05-10 11:28:55,2018-05-10
2008485,2018-05-10 11:28:59,2018-05-10
2110993,2018-05-10 11:29:02,2018-05-10
670245,2018-05-10 11:29:03,2018-05-10
1771832,2018-05-10 11:29:09,2018-05-10
1201640,2018-05-10 11:29:13,2018-05-10
2114889,2018-05-10 11:29:14,2018-05-10
1896039,2018-05-10 11:29:20,2018-05-10
1234715,2018-05-10 11:29:20,2018-05-10
1350150,2018-05-10 11:29:22,2018-05-10
1635685,2018-05-10 11:29:27,2018-05-10
1588459,2018-05-10 11:29:32,2018-05-10
2104621,2018-05-10 11:29:33,2018-05-10
907609,2018-05-10 11:29:33,2018-05-10
1283777,2018-05-10 11:29:46,2018-05-10
1736773,2018-05-10 11:29:53,2018-05-10
1903886,2018-05-10 11:29:55,2018-05-10
1768915,2018-05-10 11:30:06,2018-05-10
1665970,2018-05-10 11:30:06,2018-05-10
1443131,2018-05-10 11:30:13,2018-05-10
1851702,2018-05-10 11:30:20,2018-05-10
2056508,2018-05-10 11:30:20,2018-05-10
1225190,2018-05-10 11:30:40,2018-05-10
1233687,2018-05-10 11:30:42,2018-05-10
723759,2018-05-10 11:30:45,2018-05-10
1814884,2018-05-10 11:30:51,2018-05-10
949383,2018-05-10 11:30:57,2018-05-10
1148988,2018-05-10 11:31:07,2018-05-10
1174827,2018-05-10 11:31:10,2018-05-10
1248416,2018-05-10 11:31:20,2018-05-10
2032927,2018-05-10 11:31:23,2018-05-10
1720965,2018-05-10 11:31:23,2018-05-10
2115706,2018-05-10 11:31:25,2018-05-10
2115706,2018-05-10 11:31:31,2018-05-10
2059228,2018-05-10 11:31:33,2018-05-10
1590162,2018-05-10 11:31:42,2018-05-10
1263109,2018-05-10 11:31:43,2018-05-10
238335,2018-05-10 11:31:44,2018-05-10
1240619,2018-05-10 11:31:44,2018-05-10
2074916,2018-05-10 11:31:44,2018-05-10
1632824,2018-05-10 11:31:45,2018-05-10
905533,2018-05-10 11:31:50,2018-05-10
1861560,2018-05-10 11:31:55,2018-05-10
1205462,2018-05-10 11:31:55,2018-05-10
1249669,2018-05-10 11:31:56,2018-05-10
1259371,2018-05-10 11:32:01,2018-05-10
1565360,2018-05-10 11:32:06,2018-05-10
1189328,2018-05-10 11:32:07,2018-05-10
1186154,2018-05-10 11:32:08,2018-05-10
679276,2018-05-10 11:32:10,2018-05-10
1189749,2018-05-10 11:32:19,2018-05-10
918685,2018-05-10 11:32:20,2018-05-10
623897,2018-05-10 11:32:20,2018-05-10
1185905,2018-05-10 11:32:23,2018-05-10
1193963,2018-05-10 11:32:25,2018-05-10
991973,2018-05-10 11:32:35,2018-05-10
2109558,2018-05-10 11:32:38,2018-05-10
1150341,2018-05-10 11:32:40,2018-05-10
1225508,2018-05-10 11:32:49,2018-05-10
1282338,2018-05-10 11:33:14,2018-05-10
654234,2018-05-10 11:33:19,2018-05-10
1376099,2018-05-10 11:33:24,2018-05-10
889915,2018-05-10 11:33:32,2018-05-10
1298810,2018-05-10 11:33:44,2018-05-10
2094181,2018-05-10 11:33:52,2018-05-10
2115710,2018-05-10 11:33:52,2018-05-10
1163018,2018-05-10 11:34:03,2018-05-10
1796591,2018-05-10 11:34:04,2018-05-10
1174122,2018-05-10 11:34:09,2018-05-10
1910061,2018-05-10 11:34:15,2018-05-10
810486,2018-05-10 11:34:16,2018-05-10
1899142,2018-05-10 11:34:28,2018-05-10
2049178,2018-05-10 11:34:36,2018-05-10
2033487,2018-05-10 11:34:51,2018-05-10
1278387,2018-05-10 11:34:55,2018-05-10
1152071,2018-05-10 11:34:56,2018-05-10
1323797,2018-05-10 11:35:00,2018-05-10
1187829,2018-05-10 11:35:01,2018-05-10
1623709,2018-05-10 11:35:05,2018-05-10
1207396,2018-05-10 11:35:05,2018-05-10
1150548,2018-05-10 11:35:06,2018-05-10
1550361,2018-05-10 11:35:09,2018-05-10
1803445,2018-05-10 11:35:15,2018-05-10
789339,2018-05-10 11:35:21,2018-05-10
1215243,2018-05-10 11:35:24,2018-05-10
1943728,2018-05-10 11:35:27,2018-05-10
1599980,2018-05-10 11:35:35,2018-05-10
2104277,2018-05-10 11:35:36,2018-05-10
1222979,2018-05-10 11:35:46,2018-05-10
1957827,2018-05-10 11:35:54,2018-05-10
1987122,2018-05-10 11:36:00,2018-05-10
1243288,2018-05-10 11:36:03,2018-05-10
1206349,2018-05-10 11:36:10,2018-05-10
1178791,2018-05-10 11:36:10,2018-05-10
1225190,2018-05-10 11:36:11,2018-05-10
2114243,2018-05-10 11:36:18,2018-05-10
1830342,2018-05-10 11:36:30,2018-05-10
730825,2018-05-10 11:36:34,2018-05-10
2106276,2018-05-10 11:36:35,2018-05-10
2041732,2018-05-10 11:36:38,2018-05-10
1192545,2018-05-10 11:36:51,2018-05-10
1474740,2018-05-10 11:36:51,2018-05-10
952039,2018-05-10 11:37:38,2018-05-10
2078454,2018-05-10 11:37:43,2018-05-10
1968870,2018-05-10 11:37:56,2018-05-10
1220450,2018-05-10 11:37:58,2018-05-10
1013035,2018-05-10 11:38:19,2018-05-10
1300006,2018-05-10 11:38:19,2018-05-10
1556909,2018-05-10 11:38:29,2018-05-10
698635,2018-05-10 11:38:32,2018-05-10
1875262,2018-05-10 11:38:38,2018-05-10
1189146,2018-05-10 11:38:51,2018-05-10
1252996,2018-05-10 11:38:56,2018-05-10
1180397,2018-05-10 11:38:57,2018-05-10
1390865,2018-05-10 11:38:57,2018-05-10
1893277,2018-05-10 11:38:58,2018-05-10
1675175,2018-05-10 11:39:02,2018-05-10
1192148,2018-05-10 11:39:02,2018-05-10
1198069,2018-05-10 11:39:02,2018-05-10
1717564,2018-05-10 11:39:04,2018-05-10
929137,2018-05-10 11:39:06,2018-05-10
1836833,2018-05-10 11:39:17,2018-05-10
2115066,2018-05-10 11:39:22,2018-05-10
1115830,2018-05-10 11:39:29,2018-05-10
1841125,2018-05-10 11:39:31,2018-05-10
1947222,2018-05-10 11:39:48,2018-05-10
1200419,2018-05-10 11:39:50,2018-05-10
1235827,2018-05-10 11:39:58,2018-05-10
1836833,2018-05-10 11:40:14,2018-05-10
618551,2018-05-10 11:40:15,2018-05-10
1382047,2018-05-10 11:40:16,2018-05-10
2094596,2018-05-10 11:40:16,2018-05-10
2022857,2018-05-10 11:40:17,2018-05-10
1849474,2018-05-10 11:40:17,2018-05-10
1630534,2018-05-10 11:40:19,2018-05-10
1223586,2018-05-10 11:40:28,2018-05-10
1635685,2018-05-10 11:40:31,2018-05-10
1284565,2018-05-10 11:40:33,2018-05-10
1708613,2018-05-10 11:40:34,2018-05-10
854527,2018-05-10 11:40:40,2018-05-10
1593109,2018-05-10 11:40:41,2018-05-10
1206349,2018-05-10 11:40:44,2018-05-10
1208362,2018-05-10 11:40:50,2018-05-10
1243288,2018-05-10 11:40:59,2018-05-10
1874282,2018-05-10 11:41:01,2018-05-10
2107865,2018-05-10 11:41:05,2018-05-10
1998733,2018-05-10 11:41:21,2018-05-10
1323712,2018-05-10 11:41:24,2018-05-10
1210304,2018-05-10 11:41:25,2018-05-10
2106726,2018-05-10 11:41:38,2018-05-10
859338,2018-05-10 11:41:48,2018-05-10
2089743,2018-05-10 11:41:55,2018-05-10
2050185,2018-05-10 11:42:00,2018-05-10
2115624,2018-05-10 11:42:03,2018-05-10
847153,2018-05-10 11:42:07,2018-05-10
1905965,2018-05-10 11:42:07,2018-05-10
2114739,2018-05-10 11:42:08,2018-05-10
1585768,2018-05-10 11:42:13,2018-05-10
1175726,2018-05-10 11:42:21,2018-05-10
85790,2018-05-10 11:42:24,2018-05-10
1236432,2018-05-10 11:42:26,2018-05-10
909588,2018-05-10 11:42:29,2018-05-10
1306206,2018-05-10 11:42:33,2018-05-10
1672637,2018-05-10 11:42:34,2018-05-10
1269987,2018-05-10 11:42:42,2018-05-10
2112403,2018-05-10 11:42:42,2018-05-10
1148240,2018-05-10 11:42:44,2018-05-10
2103276,2018-05-10 11:42:45,2018-05-10
1213915,2018-05-10 11:42:59,2018-05-10
1285358,2018-05-10 11:43:00,2018-05-10
1676501,2018-05-10 11:43:05,2018-05-10
1677906,2018-05-10 11:43:13,2018-05-10
1735450,2018-05-10 11:43:17,2018-05-10
2111172,2018-05-10 11:43:18,2018-05-10
1480752,2018-05-10 11:43:29,2018-05-10
754353,2018-05-10 11:43:33,2018-05-10
1838328,2018-05-10 11:43:37,2018-05-10
1428090,2018-05-10 11:43:41,2018-05-10
1835913,2018-05-10 11:43:49,2018-05-10
2074095,2018-05-10 11:43:58,2018-05-10
1142728,2018-05-10 11:44:02,2018-05-10
907729,2018-05-10 11:44:10,2018-05-10
1541194,2018-05-10 11:44:11,2018-05-10
680144,2018-05-10 11:44:14,2018-05-10
1815814,2018-05-10 11:44:17,2018-05-10
2115710,2018-05-10 11:44:20,2018-05-10
1148240,2018-05-10 11:44:24,2018-05-10
1269987,2018-05-10 11:44:26,2018-05-10
1189749,2018-05-10 11:44:27,2018-05-10
1179908,2018-05-10 11:44:28,2018-05-10
1893843,2018-05-10 11:44:30,2018-05-10
757045,2018-05-10 11:44:41,2018-05-10
1728719,2018-05-10 11:44:46,2018-05-10
1676003,2018-05-10 11:44:49,2018-05-10
1838328,2018-05-10 11:44:58,2018-05-10
1489864,2018-05-10 11:44:59,2018-05-10
1597993,2018-05-10 11:45:01,2018-05-10
921314,2018-05-10 11:45:04,2018-05-10
621122,2018-05-10 11:45:04,2018-05-10
2048350,2018-05-10 11:45:08,2018-05-10
1672637,2018-05-10 11:45:10,2018-05-10
1255847,2018-05-10 11:45:28,2018-05-10
1200419,2018-05-10 11:45:37,2018-05-10
1208005,2018-05-10 11:45:42,2018-05-10
763465,2018-05-10 11:45:43,2018-05-10
1268766,2018-05-10 11:45:44,2018-05-10
2082796,2018-05-10 11:45:49,2018-05-10
907729,2018-05-10 11:45:50,2018-05-10
1208614,2018-05-10 11:45:52,2018-05-10
2097186,2018-05-10 11:45:57,2018-05-10
1148240,2018-05-10 11:45:59,2018-05-10
1218236,2018-05-10 11:46:04,2018-05-10
1766179,2018-05-10 11:46:07,2018-05-10
1400855,2018-05-10 11:46:12,2018-05-10
1337737,2018-05-10 11:46:12,2018-05-10
619560,2018-05-10 11:46:14,2018-05-10
1256816,2018-05-10 11:46:16,2018-05-10
1625927,2018-05-10 11:46:24,2018-05-10
1246382,2018-05-10 11:46:27,2018-05-10
1250105,2018-05-10 11:46:43,2018-05-10
1578930,2018-05-10 11:46:47,2018-05-10
1773974,2018-05-10 11:46:51,2018-05-10
2085821,2018-05-10 11:46:53,2018-05-10
1202746,2018-05-10 11:46:54,2018-05-10
2058318,2018-05-10 11:46:55,2018-05-10
1372365,2018-05-10 11:47:01,2018-05-10
1819910,2018-05-10 11:47:02,2018-05-10
841316,2018-05-10 11:47:13,2018-05-10
1331637,2018-05-10 11:47:18,2018-05-10
1776420,2018-05-10 11:47:21,2018-05-10
1220780,2018-05-10 11:47:22,2018-05-10
1625423,2018-05-10 11:47:24,2018-05-10
1350431,2018-05-10 11:47:25,2018-05-10
232177,2018-05-10 11:47:35,2018-05-10
1586328,2018-05-10 11:47:36,2018-05-10
2024370,2018-05-10 11:47:39,2018-05-10
2055678,2018-05-10 11:47:42,2018-05-10
909588,2018-05-10 11:47:46,2018-05-10
1211768,2018-05-10 11:47:48,2018-05-10
680317,2018-05-10 11:47:49,2018-05-10
2109810,2018-05-10 11:47:49,2018-05-10
2107288,2018-05-10 11:47:55,2018-05-10
1586328,2018-05-10 11:47:56,2018-05-10
2113839,2018-05-10 11:48:00,2018-05-10
1175726,2018-05-10 11:48:04,2018-05-10
1491992,2018-05-10 11:48:09,2018-05-10
2114734,2018-05-10 11:48:12,2018-05-10
2088425,2018-05-10 11:48:15,2018-05-10
820265,2018-05-10 11:48:15,2018-05-10
1568921,2018-05-10 11:48:17,2018-05-10
1203417,2018-05-10 11:48:18,2018-05-10
1189374,2018-05-10 11:48:20,2018-05-10
1871399,2018-05-10 11:48:30,2018-05-10
1216264,2018-05-10 11:48:38,2018-05-10
1175300,2018-05-10 11:48:49,2018-05-10
1250549,2018-05-10 11:48:53,2018-05-10
1423332,2018-05-10 11:49:00,2018-05-10
1803445,2018-05-10 11:49:00,2018-05-10
1198010,2018-05-10 11:49:02,2018-05-10
1592546,2018-05-10 11:49:06,2018-05-10
1963643,2018-05-10 11:49:10,2018-05-10
1175961,2018-05-10 11:49:12,2018-05-10
2074207,2018-05-10 11:49:14,2018-05-10
1193791,2018-05-10 11:49:15,2018-05-10
2023977,2018-05-10 11:49:23,2018-05-10
2114266,2018-05-10 11:49:25,2018-05-10
1269903,2018-05-10 11:49:26,2018-05-10
1911537,2018-05-10 11:49:27,2018-05-10
2112197,2018-05-10 11:49:27,2018-05-10
1313753,2018-05-10 11:49:32,2018-05-10
1455490,2018-05-10 11:49:32,2018-05-10
1000917,2018-05-10 11:49:33,2018-05-10
2115624,2018-05-10 11:49:33,2018-05-10
1906747,2018-05-10 11:49:40,2018-05-10
1233856,2018-05-10 11:49:42,2018-05-10
1869871,2018-05-10 11:49:44,2018-05-10
2097484,2018-05-10 11:49:50,2018-05-10
907729,2018-05-10 11:49:52,2018-05-10
905533,2018-05-10 11:49:52,2018-05-10
1560009,2018-05-10 11:49:58,2018-05-10
1903886,2018-05-10 11:49:58,2018-05-10
1169911,2018-05-10 11:50:17,2018-05-10
1253121,2018-05-10 11:50:21,2018-05-10
1183788,2018-05-10 11:50:21,2018-05-10
915261,2018-05-10 11:50:28,2018-05-10
1890128,2018-05-10 11:50:33,2018-05-10
2114938,2018-05-10 11:50:39,2018-05-10
1230883,2018-05-10 11:50:42,2018-05-10
1287203,2018-05-10 11:50:45,2018-05-10
617383,2018-05-10 11:50:46,2018-05-10
887318,2018-05-10 11:50:57,2018-05-10
2013462,2018-05-10 11:51:02,2018-05-10
1269281,2018-05-10 11:51:07,2018-05-10
1235725,2018-05-10 11:51:15,2018-05-10
1220695,2018-05-10 11:51:20,2018-05-10
1191950,2018-05-10 11:51:24,2018-05-10
2111687,2018-05-10 11:51:31,2018-05-10
622240,2018-05-10 11:51:32,2018-05-10
1888317,2018-05-10 11:51:36,2018-05-10
1852275,2018-05-10 11:51:45,2018-05-10
1275298,2018-05-10 11:51:46,2018-05-10
1180258,2018-05-10 11:51:50,2018-05-10
2115720,2018-05-10 11:51:58,2018-05-10
2087392,2018-05-10 11:51:58,2018-05-10
1641178,2018-05-10 11:52:02,2018-05-10
1287821,2018-05-10 11:52:08,2018-05-10
1166520,2018-05-10 11:52:21,2018-05-10
1609423,2018-05-10 11:52:29,2018-05-10
1404243,2018-05-10 11:52:33,2018-05-10
1566405,2018-05-10 11:52:44,2018-05-10
1188064,2018-05-10 11:52:47,2018-05-10
2111172,2018-05-10 11:52:59,2018-05-10
1177296,2018-05-10 11:53:06,2018-05-10
1205855,2018-05-10 11:53:09,2018-05-10
1175726,2018-05-10 11:53:17,2018-05-10
2110681,2018-05-10 11:53:20,2018-05-10
1396302,2018-05-10 11:53:20,2018-05-10
1731480,2018-05-10 11:53:23,2018-05-10
2040241,2018-05-10 11:53:23,2018-05-10
2115721,2018-05-10 11:53:39,2018-05-10
2085408,2018-05-10 11:53:49,2018-05-10
1649826,2018-05-10 11:53:51,2018-05-10
1275898,2018-05-10 11:54:11,2018-05-10
1260156,2018-05-10 11:54:12,2018-05-10
1693373,2018-05-10 11:54:12,2018-05-10
1469821,2018-05-10 11:54:19,2018-05-10
1300006,2018-05-10 11:54:23,2018-05-10
2102803,2018-05-10 11:54:26,2018-05-10
782824,2018-05-10 11:54:40,2018-05-10
2060760,2018-05-10 11:54:54,2018-05-10
1294455,2018-05-10 11:54:58,2018-05-10
134895,2018-05-10 11:55:06,2018-05-10
1560206,2018-05-10 11:55:08,2018-05-10
1429668,2018-05-10 11:55:12,2018-05-10
1831290,2018-05-10 11:55:17,2018-05-10
1115830,2018-05-10 11:55:23,2018-05-10
1895081,2018-05-10 11:55:36,2018-05-10
1835844,2018-05-10 11:55:40,2018-05-10
1219115,2018-05-10 11:55:42,2018-05-10
1813416,2018-05-10 11:55:44,2018-05-10
682542,2018-05-10 11:55:46,2018-05-10
1642113,2018-05-10 11:55:46,2018-05-10
2114877,2018-05-10 11:55:52,2018-05-10
2115720,2018-05-10 11:55:53,2018-05-10
1187829,2018-05-10 11:56:03,2018-05-10
1939512,2018-05-10 11:56:05,2018-05-10
1173421,2018-05-10 11:56:06,2018-05-10
1151970,2018-05-10 11:56:08,2018-05-10
983476,2018-05-10 11:56:10,2018-05-10
1633841,2018-05-10 11:56:16,2018-05-10
